date,description,imgsrc,order,y
2019,Spire Global announces the company's first product from its Spire Aviation division with the launch of their new AirSafe API. The AirSafe product uses ADS-B data collected from Spire's satellite constellation to solve the industry's need for flight tracking data covering both land and oceans at a competitive cost.,"https://aviation.spire.com/wp-content/uploads/2019/07/spire_aviation_logo-1.png",1,0
2018,"Spire Global announces that its first ADS-B enabled satellites are due to launch by the end of Q3. Like all LEMUR2 class satellites, these first ADS-B satellites are multi-sensor, carrying additional weather (GPS-Radio Occultation) and maritime (Automatic Identification System) payloads.","https://www.spire.com/uploads/ProductSuite/Aviation/AirTrafficSample-640x360.jpg",2,0
2012,"Spire Global is founded in San Francisco, California. It begins as part of ArduSat, a project aiming to 'democratize access to space'.",https://fresco.vc/wp-content/uploads/spire-5.png,3,0
2011,"The FAA requests that the ARC provide a forum for the U.S. aviation community to define a strategy for incorporating ADS–B In technologies into the National Airspace System (NAS). In response, recommendations are provided that clearly define how the community should proceed with ADS–B In while ensuring compatibility with ADS–B Out avionics standards defined previously.","https://www.researchgate.net/profile/Kasthurirangan_Gopalakrishnan/publication/274123014/figure/fig1/AS:393390278627329@1470802959065/Major-Components-of-US-FAAs-National-Airspace-System-NAS-Source-Williams-and-Signore.png",4,0
2010,"Following the FAA's consideration of the ARC results in 2008, it publishes the final rule for ADS-B Out performance requirements. As a result, new regulations are added to existing ones and cover 'aircraft operating in Classes A, B, and C airspace, as well as certain other specified classes of airspace within the U.S.'","https://slideplayer.com/slide/12952842/78/images/3/US+ADS-B+Final+Rule%3A+Overview.jpg",5,0
2007-2008,"The FAA publishes its Notice of Proposed Rulemaking (NPRM) for ADS-B Out on October 5, 2007.  Simultaneously, the FAA charters the ADS-B Aviation Rulemaking Committee (ARC) to provide the aviation community with a forum for 'discussion and review' of the NPRM. On September 26, 2008, the ARC publishes its results.","https://www.rotordronepro.com/wp-content/uploads/2019/11/faa.png",6,0
2007,"The Capstone Program in Alaska leads to the Universal Access Transceiver (UAT), a device that can communicate with both the ground and nearby aircraft to exchange ADS-B position data. UAT uses readily available components to keep costs down and can be incorporated into radios in smaller and lower-flying aircraft.","https://slideplayer.com/slide/752549/2/images/16/Capstone+Architecture.jpg",7,0
1990s,"Radar surveillance of runways and taxiways is added, and surveillance accuracy at the surface becomes good enough to feed into the automatic safety warning devices. The FAA's Surveillance Vision Plan (Rev 2) was published.  The SVP describes a 'transition from ground-based radar surveillance to a joint satellite-based and ground-based surveillance system' in 5-year segments through 2015.","https://www.aopa.org/-/media/Images/Legacy/AOPA/Home/Supporting-General-Aviation/Advocacy_ADS_B.jpg?h=320&w=640&hash=2C94F6359E6409A74BBDAD9C903927FD",8,0
1980s,The Airborne Collision Avoidance System (ACAS) is developed as an international standard. It uses air-to-air surveillance and is required on all commercial aircraft operating in the US and Europe.,"http://www.aircraftmech.com/pics/tcas.jpg",9,0
1981,The FAA announces a decision to implement an aircraft collision avoidance concept called the Traffic Alert and Collision Avoidance System (TCAS). The concept is based upon development efforts in the areas of beacon based collision avoidance systems and air-to-air discrete address communications.,"https://steemitimages.com/DQmRsUZobfvhDC4BYANQb2wst3gR4xf7sM3Lf8v7cqN4VbQ/image.png",10,0
1970s,"The Air Traffic Control Radar Beacon System (ATCRBS), also known as Secondary Surveillance Radar (SSR), is upgraded to enhance surveillance performance in dense airspace. It also improves transmissions between ground and aircraft. ",http://web.mit.edu/6.933/www/Fall2000/mode-s/ssr.gif,11,0
1960s,Long range radars are deployed along primary air routes. Also added during this time are automatic aircraft tracking and weather tracking. Elements of the Identification Friend or Foe (IFF) system - which first emerged during World War II - are adapted into an FAA standard for civil aviation. This leads to transponders becoming increasingly mandatory for US aircraft.,"https://cdn.everythingrf.com/live/IFF-radar.png",12,0
1950s,"GCA matures and is widely accepted through the mid-1950s, at which time the Instrument Landing System (ILS) begins replacing GCA.  Though ILS uses similar course guidance principles to GCA, ILS instrumentation on-board aircraft displays course deviation directly to the pilot.","https://i.pinimg.com/originals/6a/53/87/6a5387064067f9ba4180dd0e1507ec2e.jpg",13,0
1945,"Civil aviation first uses GCA equipment at La Guardia Airport, where it is instrumental in tripling the landing rate to 15 planes per hour.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/LaGuardia_Airport_Logo.svg/350px-LaGuardia_Airport_Logo.svg.png",14,0
1943,Air traffic control (ATC) and radar are used together for the first time when Air Force air traffic controllers begin using Ground Controlled Approach (GCA) equipment to help military pilots land safely in poor visibility.,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/SH-3A_of_HS-4_makes_first_GCA-landing_c1964.jpg/440px-SH-3A_of_HS-4_makes_first_GCA-landing_c1964.jpg",15,0
