date,description,imgsrc,order,y
"2019","Spire and the Luxembourg Space Agency announce their plans to create a data lake of Earth observation data - including GNSS-RO data from Spire satellites - which will be open to any startup, research institute or public agency in Luxembourg.","https://specials-images.forbesimg.com/imageserve/5d25fc2834a5c400084aef30/960x0.jpg",1,0
"2019","Spire Global unveils Spire Forecast on September 11, the first product from the Spire Weather business unit. With 5000 radio occultation profiles collected by Spire's satellites each day, the product provides maritime clients with detailed information on atmospheric conditions including global sea surface temperatures, ocean currents, wave heights, surface winds and air temperature.","https://weather.spire.com/wp-content/uploads/2019/04/Screen-Shot-2019-04-22-at-5.22.52-PM.png",2,0,
"2019","Spire's global weather model is enhanced by a steadily growing constellation of satellites, each equipped with their own GNSS Radio Occultation payload. Adding to what is already one of the largest private constellations in the world, the company exceeds 100 successfully deployed satellites early in the year.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Spire_Glasgow_Cleanroom_2017.jpg/400px-Spire_Glasgow_Cleanroom_2017.jpg",3,0
"2018-2017","The National Environmental Satellite, Data, and Information Service (NESDIS) awards contracts to 3 satellite companies for Round Two of the CWDP. NOAA plans to review space-based RO data from Spire, GeoOptics, and PlanetIQ in order to determine its quality and potential value to NOAA’s weather forecasts and warnings.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Spire_Weather_2019.png/800px-Spire_Weather_2019.png",4,0
"2017-2016","NOAA holds its inaugural Commercial Weather Data Pilot (CWDP). Round One culminates in the first ever contracts for private weather satellites being issued to Spire Global and GeoOptics.","https://pbs.twimg.com/media/EME7UInXYAE30RA.jpg",5,0
"2016","Spire opens a second U.S campus in Boulder, Colorado. The company hires Dave Ector (former program manager for NASA’s COSMIC satellites) and Alexander MacDonald (former director of NOAA’s Earth System Research Laboratory), and starts drawing on the resources of the local weather ecosystem.","https://i.ytimg.com/vi/TDF5Orf3SLc/maxresdefault.jpg",6,0
"2012","Spire Global is founded in San Francisco, California. It begins as part of ArduSat, a project aiming to 'democratize access to space'.","https://fresco.vc/wp-content/uploads/spire-5.png",7,0
"2007","The U.S. National Oceanic and Atmospheric Administration (NOAA) begins using the COSMIC constellation's radio occultation data in their operational forecasts.","https://www.ago.noaa.gov/images/noaa_logo1200by630v1.png",8,0
"1999-2002","NASA follows the GPS/MET success with experiments on 6 international partnership missions, refining the systems and techniques of GPS sounding and demonstrating the robust low-cost technology. Several of these satellites continue to provide high-quality GPS remote sensing data today.","https://d3i71xaburhd42.cloudfront.net/5d90f699cad97a2e4e8bb5b4a2c58599b9b8a453/3-Figure1-1.png",9,0
"1998","UCAR partners with Taiwan's National Space Organization to take GPS remote sensing to the operational level with the Constellation Observing System for Meteorology, Ionosphere, and Climate (COSMIC) - the first operational GPS occultation constellation - also known as FORMOSAT-3 in Taiwan.","https://www.cosmic.ucar.edu/media/filer_public_thumbnails/filer_public/07/5b/075beb69-eb74-4ed5-93d4-8b69d85c7433/ro-and-ground-gnss.png__800x453_q85_crop_subject_location-400%2C227_subsampling-2_upscale.png",10,0
"1995","GPS/MET, proposed by the University Corporation for Atmospheric Research (UCAR) and sponsored by the U.S. National Science Foundation (NSF), is remarkably successful in measuring properties of the atmosphere and ionosphere with a low-cost and reliable instrument.","https://www.cosmic.ucar.edu/media/filer_public_thumbnails/filer_public/cb/50/cb5032fe-cf64-4a3e-8cb0-fff64372c367/gnss-ro-diagram.png__800x453_q85_crop_subsampling-2_upscale.png",11,0
"1988","JPL submits the first GPS occultation proposal to NASA. Although the “GPS Geoscience Instrument” does not fly, the concept is established, and development of GPS remote sensing technology begins. NASA starts developing GPS remote sensing receivers, and global ground networks are put in place.","https://www.gps.gov/systems/gps/control/map.png",12,0
"1980s","As the Global Positioning System (GPS) emerges, NASA devises new analysis techniques and equipment. The quest for sub-centimeter global accuracy soon leads to GPS-derived measurements of the atmosphere and ionosphere. Texas Instruments begins selling its TI 4100 NAVSTAR Navigator, the first commercial GPS receiver.","https://www.ion.org/museum/photos/TI%204100%20and%20Antenna%20NOAA-NGS.JPG",13,0
"1973","The GPS project was started by the U.S. Department of Defense in 1973, with the first prototype spacecraft launched in 1978 and the full constellation of 24 satellites operational in 1993. Originally limited to use by the United States military, civilian use was allowed from the 1980s.","https://upload.wikimedia.org/wikipedia/commons/3/3c/NAVSTAR_GPS_logo.png",14,0
"1960s","Teams from NASA Jet Propulsion Laboratory (JPL) and Stanford University exploit radio links between Earth and the Mariner 3 and 4 spacecraft to probe the atmosphere and other properties of Mars.","https://mars.nasa.gov/system/resources/detail_files/7303_mars_planet_mars_mariner6_7_spacecraft-full2.jpg",15,0
